site_name,date,indicator,conc,river_name,year,date_no_year
Hunt Club 3,2013-05-22T00:00:00Z,e.coli,0,Sasco Brook,2013,05-22
Indian 3,2006-08-10T00:00:00Z,e.coli,1,Indian River,2006,08-10
Hunt Club 5,2011-08-19T00:00:00Z,e.coli,0,Sasco Brook,2011,08-19
Hunt Club 5,2011-08-17T00:00:00Z,e.coli,0,Sasco Brook,2011,08-17
New 0.5,2013-09-26T00:00:00Z,e.coli,0,Greens Farms Brook,2013,09-26
Hunt Club 5,2011-08-18T00:00:00Z,e.coli,0,Sasco Brook,2011,08-18
Indian 1,2006-08-10T00:00:00Z,e.coli,1,Indian River,2006,08-10
New 1,1997-07-08T00:00:00Z,e.coli,0,Greens Farms Brook,1997,07-08
Sasco 1,2000-08-02T00:00:00Z,e.coli,0,Sasco Brook,2000,08-02
Sasco 1,2014-08-28T00:00:00Z,e.coli,0,Sasco Brook,2014,08-28
Hunt Club 2,2002-06-25T00:00:00Z,e.coli,2,Sasco Brook,2002,06-25
Deadman 9,2023-05-31T00:00:00Z,e.coli,2,Deadman Brook,2023,05-31
Indian 3.1,2022-08-15T00:00:00Z,e.coli,1553,Indian River,2022,08-15
New 1,2013-09-19T00:00:00Z,e.coli,2,Greens Farms Brook,2013,09-19
New 0.5,2023-05-04T00:00:00Z,entero,10,Greens Farms Brook,2023,05-04
Sasco 4,2022-05-09T00:00:00Z,e.coli,70,Sasco Brook,2022,05-09
Sasco 4,2022-05-09T00:00:00Z,entero,10,Sasco Brook,2022,05-09
New 1,2023-05-04T00:00:00Z,entero,10,Greens Farms Brook,2023,05-04
Sasco 1,2023-05-03T00:00:00Z,entero,10,Sasco Brook,2023,05-03
Indian 1,2005-05-05T00:00:00Z,e.coli,3,Indian River,2005,05-05
Deadman 9,2020-06-25T00:00:00Z,e.coli,3,Deadman Brook,2020,06-25
Saugatuck 0.25,2020-05-07T00:00:00Z,entero,10,Saugatuck River,2020,05-07
New 1,2006-05-25T00:00:00Z,e.coli,4,Greens Farms Brook,2006,05-25
Sasco 1,2022-05-09T00:00:00Z,entero,10,Sasco Brook,2022,05-09
Saugatuck 0.5,2020-05-07T00:00:00Z,entero,10,Saugatuck River,2020,05-07
Poplar 2,2006-08-24T00:00:00Z,e.coli,4,Saugatuck River,2006,08-24
Saugatuck 0.25,2021-05-11T00:00:00Z,entero,10,Saugatuck River,2021,05-11
SG1,2008-09-25T00:00:00Z,e.coli,4,Saugatuck River,2008,09-25
Deadman 9,2018-05-07T00:00:00Z,e.coli,4,Deadman Brook,2018,05-07
