year,site_name,max,latitude,longitude
1995,Hunt Club 2,1145088.955,41.14786,-73.30736
1995,Indian 1,14,41.11643,-73.37585
1995,Indian 2,58.013,41.11837,-73.37903
1995,Indian 3,12,41.12117,-73.37998
1995,Sasco 2,2112.879,41.13293,-73.29675
1995,Sasco 3,10520.575,41.13702,-73.29708
1995,Sasco 4,30598.655000000002,41.13813,-73.29793
1995,Sasco 6,1971.705,41.14556,-73.30111
1995,Sasco 7,1391.3229999999999,41.14573,-73.30314
1995,Sasco 8,1391.3229999999999,41.14579,-73.30318
1995,Sasco 9,47853.255000000005,41.1528,-73.30605
1995,West Saug 1,45,41.17809,-73.37404
1996,Hunt Club 2,449414.85500000004,41.14786,-73.30736
1996,Sasco 2,9265.695,41.13293,-73.29675
1996,Sasco 4,3516.776,41.13813,-73.29793
1996,Sasco 6,1240.7374,41.14556,-73.30111
1996,Sasco 7,72166.55500000001,41.14573,-73.30314
1996,Sasco 8,2912.865,41.14579,-73.30318
1996,Sasco 9,7210.829,41.1528,-73.30605
1997,Hunt Club 2,130204.755,41.14786,-73.30736
1997,Muddy 1,352.90979999999996,41.12735,-73.329580000000007
1997,New 1,8324.535,41.118839,-73.316926
1997,New 1.5,1046.231,41.120757,-73.31513
1997,New 2,4324.605,41.123344,-73.313794
1997,New 3,2285.4249999999997,41.130641,-73.31282
1997,New 4,6285.355,41.13149,-73.313413
1997,Pussy Willow 1,1579.5549999999998,41.1234,-73.34916
1997,Pussy Willow 2,2450.1279999999997,41.126496,-73.351695
1997,Sasco 2,105.071,41.13293,-73.29675
1997,Sasco 4,2599.145,41.13813,-73.29793
1997,Sasco 6,826.6270000000001,41.14556,-73.30111
1997,Sasco 9,685.4530000000001,41.1528,-73.30605
1998,Hunt Club 2,18049.855000000003,41.14786,-73.30736
1998,Muddy 1,889.371,41.12735,-73.329580000000007
1998,Muddy 2,3854.025,41.13293,-73.32859
1998,Muddy 3,5422.625,41.13857,-73.32546
1998,Muddy 4,23226.235,41.14107,-73.32172
1998,New 1,544.279,41.118839,-73.316926
1998,New 2,2363.855,41.123344,-73.313794
1998,New 3,2285.4249999999997,41.130641,-73.31282
1998,New 4,2756.005,41.13149,-73.313413
1998,Pussy Willow 1,7853.955,41.1234,-73.34916
1998,Pussy Willow 2,7853.955,41.126496,-73.351695
1998,Pussy Willow 3,1893.2749999999999,41.129896,-73.34824
1998,Pussy Willow 4,14912.655,41.136663,-73.34445
1998,Sasco 3,5736.345,41.13702,-73.29708
1998,Sasco 4,1030.545,41.13813,-73.29793
1998,Sasco 6,528.5930000000001,41.14556,-73.30111
1998,Sasco 7,167.81500000000003,41.14573,-73.30314
1998,Sasco 8,261.931,41.14579,-73.30318
1998,Sasco 9,685.4530000000001,41.1528,-73.30605
1999,Hunt Club 2,200791.75499999998,41.14786,-73.30736
1999,Muddy 1,4246.175,41.12735,-73.329580000000007
1999,Muddy 3,2520.715,41.13857,-73.32546
1999,Muddy 4,2050.135,41.14107,-73.32172
1999,New 1,450.16299999999995,41.118839,-73.316926
1999,New 2,3822.653,41.123344,-73.313794
1999,New 4,2944.237,41.13149,-73.313413
1999,Pussy Willow 1,5281.451,41.1234,-73.34916
1999,Pussy Willow 2,2065.821,41.126496,-73.351695
1999,Pussy Willow 4,14677.365,41.136663,-73.34445
1999,Sasco 1,2332.4829999999997,41.12478,-73.29888
1999,Sasco 3,5265.765,41.13702,-73.29708
1999,Sasco 4,12246.035,41.13813,-73.29793
1999,Sasco 5,5595.171,41.13853,-73.2979
1999,Sasco 6,1971.705,41.14556,-73.30111
1999,Sasco 9,3414.817,41.1528,-73.30605
2000,Hunt Club 2,423532.955,41.14786,-73.30736
2000,Sasco 1,3900,41.12478,-73.29888
2000,Sasco 3,2771.691,41.13702,-73.29708
2000,Sasco 4,3383.4449999999997,41.13813,-73.29793
2000,Sasco 6,505.06399999999996,41.14556,-73.30111
2000,Sasco 7,12167.605,41.14573,-73.30314
2000,Sasco 8,2206.995,41.14579,-73.30318
2000,Sasco 9,512.907,41.1528,-73.30605
2001,Hunt Club 1,15700,41.14587,-73.30357
2001,Hunt Club 2,820000,41.14786,-73.30736
2001,Hunt Club 3,4000,41.14685,-73.30846
2001,Hunt Club 5,22000,41.14708,-73.30917
2001,Sasco 1,2500,41.12478,-73.29888
2001,Sasco 3,6300,41.13702,-73.29708
2001,Sasco 4,8600,41.13813,-73.29793
2001,Sasco 6,4300,41.14556,-73.30111
2001,Sasco 7,11700,41.14573,-73.30314
2001,Sasco 9,3900,41.1528,-73.30605
2002,Hunt Club 2,180000,41.14786,-73.30736
2002,Indian 1,-Inf,41.11643,-73.37585
2002,Indian 2,-Inf,41.11837,-73.37903
2002,Indian 3,-Inf,41.12117,-73.37998
2002,Sasco 1,7800,41.12478,-73.29888
2002,Sasco 3,37000,41.13702,-73.29708
2002,Sasco 4,41000,41.13813,-73.29793
2002,Sasco 6,128,41.14556,-73.30111
2002,Sasco 9,264,41.1528,-73.30605
2003,Hunt Club 2,60000,41.14786,-73.30736
2003,Indian 1,5200,41.11643,-73.37585
2003,Indian 2,1900,41.11837,-73.37903
2003,Indian 3,2160,41.12117,-73.37998
2003,Sasco 1,22000,41.12478,-73.29888
2003,Sasco 3,29000,41.13702,-73.29708
2003,Sasco 4,9000,41.13813,-73.29793
2003,Sasco 5,12000,41.13853,-73.2979
2003,Sasco 6,4400,41.14556,-73.30111
2003,Sasco 9,1060,41.1528,-73.30605
2004,Hunt Club 2,260000,41.14786,-73.30736
2004,Sasco 1,280,41.12478,-73.29888
2004,Sasco 3,1560,41.13702,-73.29708
2004,Sasco 4,1860,41.13813,-73.29793
2004,Sasco 5,940,41.13853,-73.2979
2004,Sasco 6,22000,41.14556,-73.30111
2004,Sasco 9,560,41.1528,-73.30605
2005,Hunt Club 2,27000,41.14786,-73.30736
2005,Indian 1,15000,41.11643,-73.37585
2005,Indian 3,12000,41.12117,-73.37998
2005,Poplar 2,26000,41.16205,-73.37512
2005,SG1,2900,41.162278,-73.368167
2005,Sasco 5,1600,41.13853,-73.2979
2005,Sasco 6,920,41.14556,-73.30111
