year,site_name,times_exceeded,percent_exceeded,latitude,longitude,river_name
1995,Hunt Club 2,35,0.4861111111111111,41.14786,-73.30736,Sasco Brook
1995,Indian 1,0,0,41.11643,-73.37585,Indian River
1995,Indian 2,0,0,41.11837,-73.37903,Indian River
1995,Indian 3,0,0,41.12117,-73.37998,Indian River
1995,Sasco 2,6,0.375,41.13293,-73.29675,Sasco Brook
1995,Sasco 3,13,0.4642857142857143,41.13702,-73.29708,Sasco Brook
1995,Sasco 4,13,0.4642857142857143,41.13813,-73.29793,Sasco Brook
1995,Sasco 6,11,0.2619047619047619,41.14556,-73.30111,Sasco Brook
1995,Sasco 7,3,0.5,41.14573,-73.30314,Sasco Brook
1995,Sasco 8,4,0.5,41.14579,-73.30318,Sasco Brook
1995,Sasco 9,13,0.3611111111111111,41.1528,-73.30605,Sasco Brook
1995,West Saug 1,0,0,41.17809,-73.37404,Saugatuck River
1996,Hunt Club 2,15,0.5,41.14786,-73.30736,Sasco Brook
1996,Sasco 2,5,0.5,41.13293,-73.29675,Sasco Brook
1996,Sasco 4,1,0.5,41.13813,-73.29793,Sasco Brook
1996,Sasco 6,5,0.4166666666666667,41.14556,-73.30111,Sasco Brook
1996,Sasco 7,13,0.5,41.14573,-73.30314,Sasco Brook
1996,Sasco 8,9,0.375,41.14579,-73.30318,Sasco Brook
1996,Sasco 9,11,0.3235294117647059,41.1528,-73.30605,Sasco Brook
1997,Hunt Club 2,19,0.5,41.14786,-73.30736,Sasco Brook
1997,Muddy 1,4,0.3333333333333333,41.12735,-73.329580000000007,Muddy Brook
1997,New 1,7,0.3888888888888889,41.118839,-73.316926,Greens Farms Brook
1997,New 1.5,1,0.5,41.120757,-73.31513,Greens Farms Brook
1997,New 2,11,0.5,41.123344,-73.313794,Greens Farms Brook
1997,New 3,10,0.45454545454545453,41.130641,-73.31282,Greens Farms Brook
1997,New 4,12,0.5,41.13149,-73.313413,Greens Farms Brook
1997,Pussy Willow 1,6,0.5,41.1234,-73.34916,Pussy Willow Brook
1997,Pussy Willow 2,6,0.5,41.126496,-73.351695,Pussy Willow Brook
1997,Sasco 2,0,0,41.13293,-73.29675,Sasco Brook
1997,Sasco 4,1,0.25,41.13813,-73.29793,Sasco Brook
1997,Sasco 6,4,0.11764705882352941,41.14556,-73.30111,Sasco Brook
1997,Sasco 9,6,0.23076923076923078,41.1528,-73.30605,Sasco Brook
1998,Hunt Club 2,8,0.5,41.14786,-73.30736,Sasco Brook
1998,Muddy 1,4,0.5,41.12735,-73.329580000000007,Muddy Brook
1998,Muddy 2,3,0.5,41.13293,-73.32859,Muddy Brook
1998,Muddy 3,5,0.5,41.13857,-73.32546,Muddy Brook
1998,Muddy 4,6,0.5,41.14107,-73.32172,Muddy Brook
1998,New 1,1,0.25,41.118839,-73.316926,Greens Farms Brook
1998,New 2,2,0.5,41.123344,-73.313794,Greens Farms Brook
1998,New 3,6,0.5,41.130641,-73.31282,Greens Farms Brook
1998,New 4,9,0.5,41.13149,-73.313413,Greens Farms Brook
1998,Pussy Willow 1,5,0.5,41.1234,-73.34916,Pussy Willow Brook
1998,Pussy Willow 2,4,0.5,41.126496,-73.351695,Pussy Willow Brook
1998,Pussy Willow 3,3,0.5,41.129896,-73.34824,Pussy Willow Brook
1998,Pussy Willow 4,7,0.5,41.136663,-73.34445,Pussy Willow Brook
1998,Sasco 3,6,0.42857142857142855,41.13702,-73.29708,Sasco Brook
1998,Sasco 4,3,0.5,41.13813,-73.29793,Sasco Brook
1998,Sasco 6,3,0.375,41.14556,-73.30111,Sasco Brook
1998,Sasco 7,1,0.5,41.14573,-73.30314,Sasco Brook
1998,Sasco 8,1,0.5,41.14579,-73.30318,Sasco Brook
1998,Sasco 9,4,0.2857142857142857,41.1528,-73.30605,Sasco Brook
1999,Hunt Club 2,5,0.5,41.14786,-73.30736,Sasco Brook
1999,Muddy 1,5,0.5,41.12735,-73.329580000000007,Muddy Brook
1999,Muddy 3,1,0.5,41.13857,-73.32546,Muddy Brook
1999,Muddy 4,2,0.3333333333333333,41.14107,-73.32172,Muddy Brook
1999,New 1,1,0.5,41.118839,-73.316926,Greens Farms Brook
