year,river
1995,Indian River
1995,Sasco Brook
1995,Saugatuck River
1996,Sasco Brook
1997,Sasco Brook
1997,Greens Farms Brook
1997,Muddy Brook
1997,Pussy Willow Brook
1998,Pussy Willow Brook
1998,Muddy Brook
1998,Sasco Brook
1998,Greens Farms Brook
1999,Pussy Willow Brook
1999,Muddy Brook
1999,Sasco Brook
1999,Greens Farms Brook
2000,Sasco Brook
2001,Sasco Brook
2002,Sasco Brook
2002,Indian River
2003,Sasco Brook
2003,Indian River
2004,Sasco Brook
2005,Indian River
2005,Saugatuck River
2005,Sasco Brook
2006,Indian River
2006,Saugatuck River
2006,Pussy Willow Brook
2006,Muddy Brook
2006,Greens Farms Brook
2006,Sasco Brook
2007,Saugatuck River
2007,Indian River
2008,Indian River
2008,Saugatuck River
2008,Pussy Willow Brook
2008,Muddy Brook
2009,Saugatuck River
2009,Pussy Willow Brook
2009,Muddy Brook
2010,Saugatuck River
2010,Pussy Willow Brook
2010,Sasco Brook
2011,Saugatuck River
2011,Muddy Brook
2011,Sasco Brook
2011,Pussy Willow Brook
2012,Deadman Brook
2012,Pussy Willow Brook
2012,Muddy Brook
2012,Greens Farms Brook
2012,Sasco Brook
2013,Stony Brook
2013,Deadman Brook
2013,Pussy Willow Brook
2013,Muddy Brook
2013,Greens Farms Brook
2013,Sasco Brook
2014,Indian River
2014,Pussy Willow Brook
2014,Muddy Brook
2014,Sasco Brook
2015,Muddy Brook
2015,Sasco Brook
2016,Indian River
2016,Saugatuck River
2016,Pussy Willow Brook
2016,Muddy Brook
2016,Greens Farms Brook
2016,Sasco Brook
2017,Indian River
2017,Saugatuck River
2017,Muddy Brook
2017,Pussy Willow Brook
2018,Indian River
2018,Stony Brook
2018,Saugatuck River
2018,Deadman Brook
2018,Muddy Brook
2018,Sasco Brook
2019,Indian River
2019,Stony Brook
2019,Saugatuck River
2019,Pussy Willow Brook
2019,Muddy Brook
2019,Greens Farms Brook
2019,Sasco Brook
2020,Stony Brook
2020,Saugatuck River
2020,Deadman Brook
2020,Sasco Brook
2021,Saugatuck River
2021,Stony Brook
2021,Deadman Brook
2021,Sasco Brook
2022,Indian River
2022,Stony Brook
2022,Saugatuck River
2022,Deadman Brook
2022,Muddy Brook
2022,Sasco Brook
2023,Indian River
2023,Stony Brook
2023,Deadman Brook
2023,Greens Farms Brook
2023,Sasco Brook
